letter of the alphabet	ï»¿aabaa
traditional Oromo ministerof war 2) commander of an army	abbaa duulaa
owner of a well	abbaa eelaa
factory owner	abbaa faabrikaa
horseman	abbaa fardaa
kind-hearted	abbaa firaa
traditional Oromo surveyor	abbaa funyoo
muleteer	abbaa gaangee
traditional Oromo minister of commerce	abbaa gabaa
slave-owner	abbaa gabraa
traditional Oromo president elected for the duration of eight years	abbaa gadaa
military commander under abbaa duulaa	abbaa gajjaa
the owner of galma	abbaa galmaa
head of a village	abbaa gandaa
team captain	abbaa garoo
trogon	abbaa gayyaa
brigadier	abbaa godinaa
black leg	abbaa gorbaa
head of a tribe	abbaa gosaa
a daily supervisor	abbaa guyyaa
usurer	abbaa hiiqii
prose-writer	abbaa holooloo
sheep merchant	abbaa hoolaa
treasurer	abbaa horii
powerful	abbaa humnaa
toucan	abbaa ilkoo
authoritarian	abbaa irree
dictatorship	abbaa irrummaa
wholesaler	abbaa jilaa
holder of kallacha	abbaa kallachaa
owner of grazing land	abbaa kaloo
owner of a great number of cattle	abbaa karraa
host	abbaa keessummaa
an official who is in charge of boarder	abbaa kellaa
player of kiraara	abbaa kiraaraa
godfather	abbaa kiristinnaa
contractor	abbaa kontiraataa
account holder	abbaa kontoo
chairman of an assembly	abbaa koraa
ceremonial leader	abbaa kormaa
owner of a company	abbaa kubbaaniyyaa
a person who has one thousand or more cattle	abbaa kumaa
landlord	abbaa lafaa
local administrator	abbaa lagaa
creditor	abbaa liqaa
cattle owner	abbaa loonii
treasurer	abbaa maallaqaa
a man who has a large family	abbaa maatii
greengrocer	abbaa magariisaa
strategist	abbaa malaa
husband	abbaa manaa
oral historian	abbaa maraaraa
grain seller	abbaa midhaanii
grain merchant	abbaa miijanaa
a successful killer of big animals such as lions and elephants	abbaa mirgaa
debtor	abbaa mugootaa
judge	abbaa murtii
traditional religious head of the Oromo people	abbaa muudaa
peace-maker	abbaa nagaa
chief of a village	abbaa ollaa
owner of a farmland	abbaa oobruu
one who is waiting for his turn	abbaa orofaa
postman	abbaa poostaa
title holder	abbaa qabeenyaa
gunman	abbaa qawwee
head of a localised minor clan	abbaa qe'ee
a firewood seller	abbaa qoraanii
pharmacist	abbaa qorichaa
district governor	abbaa qoroo
auditor	abbaa qortoo
traditional Oromo border expert	abbaa qottoo
prophet	abbaa raajii
a man-eater animal supposed to have been appeared in Oromoland after the Abyssinian occupation	abbaa rusii
a traditional Oromo minister of finance	abbaa sa'aa
saxophon list	abbaa saaksifoonaa
commander of a military unit	abbaa saglii
anthrax	abbaa sangaa
hero in a story	abbaa seenaa
traditional Oromo minister of law	abbaa seeraa
chancre	abbaa seeruu
narrator	abbaa sheekkoo
cabman	abbaa taaksii
official	abbaa taayitaa
sovereign	abbaa taayitaa guutuu
tobacconist	abbaa tamboo
team captain	abbaa tiitaa
strategist	abbaa tooftaa
player of the flute	abbaa ulullee
host	abbaa waamichaa
watchman	abbaa waardiyyaa
poet	abbaa walaloo
warlord	abbaa waraanaa
holder of a university degree	abbaa warboo
head of the family	abbaa warraa
owner of a factory	abbaa washaa
addressee	abbaa xalayaa
player of fiddle	abbaa xamboo
archer	abbaa xiyyaa
trombonist	abbaa xurumbaa
ferryman	abbaa yabaloo
orphan	abbaa-haadhamaleessa
parents	abbaadhoo
parenthood	abbaadhummaa
agent	abbaanaa
ambition	abballoo
intention	abbaltii
ambitious person	abbaltuu
to intend	abbaluu
apartment	abbartamaa
duplex	abbartamaa mirree
the Nile	Abbaya
the White Nile	Abbaya Adii
the Lower Nile	Abbaya Gadaanuu
the Blue Nile	Abbaya Gurraacha
the Upper Nile	Abbaya Olaanuu
Nilotes	Abbayoolee
familiar form for father used in poems and songs	abbayyee
possession	abbeentaa
father-in-law	abbiyyuu
authority	abbooma
commander in chief	abboomaa bantii
regimental leader	abboomaa cibraa
acting commander in chief	abboomaa eeggataa
deputy commander in chief	abboomaa ittaanaa
a military commander	abboomaa waraanaa
commander	abboomaa
obedience	abboomama
obedient	abboomamaa
disobedient	abboommi-dhabeessa
disobedience	abboommi-dhabeessummaa
command	abboommii
prescription	abboommii hakimii
voucher	abboommii maallaqaa
warrant	abboommii manseera
government's order	abboommii mootummaa
programmed instruction	abboommii saganteeffamaa
to command	abboomuu
grammatical plural of the word abbaa	abbootii
superpowers	abbootii aangoo
national leaders	abbootii biyyaa
city fathers	abbootii magaalaa
authorities	abbootii taayitaa
judges	abbotii seeraa
admiral	abbowaga
fatherhood	abbummaa
thumb	abbuugduu
reliable	abdachiisaa
to promise	abdachiisuu
to hope	abdachuu
promise	abdannoo
hope	abdata
anticipator	abdataa
a promising	abdatamaa
hopeless	abdi-dhabeessa
promising	abdi-qabeessa
optimism	abdidansaa
hope	abdii
make to lose hope	abdii kutachiisuu
to lose hope	abdii kutachuu
to have hope	abdii qabaachuu
abujedid	abjadee
to dream	abjoochuu
one who dreams	abjootaa
fairy-tale	abjootee
dream	abjuu
day-dream	abjuu guyyaa
avocado	abokaadoo
pugilist	abootaa
fist	aboottee
to punch	abootuu
sea animals	aboyyii
lesser koodoo	abroolee
clever	abshaala
cleverness	abshaalummaa
abscissa	absiisa
same as dababaasaa	abukaatoo
bishop	abuna
cultivation	abura
investigator	aburaa
cultivated	aburamaa
proposal	aburroo
survey	aburtii
to cultivate 2) to look for grass 3) to investigate	aburuu
seedless	abuur-dhablee
seed	abuurra
illegitimate seed	abuurra galaa
germinated seed	abuurra muta'aa
daisy	adaa
desert	adaala
campus	adaalloo
main campus	adaalloo dursaasoo
oasis	adaalqaljii
euphorbia	adaamii
discipline	adaba
one who takes disciplinary measures	adabaa
punishable	adabamaa
fine	adabbii
corporal punishment	adabii dhagnaa
death penalty	adabii du'aa
severe punishment	adabii hamaa
to punish	adabuu
hunting	adamoo
bird-catcher	adamsaa shimbirroo
hunter	adamsaa
predator	adamsooyyee
to hunt	adamsuu
allergy	adanyoo
skin allergy	adanyoo gogaa
highland 2) highlander	adaree
pigeon	adarii
guardian spirit	adbaarii
forehead	adda
liberation front	adda bilisummaa
flank	adda ilkoo
cold front	adda qorraa
united front	adda tokkummaa
national united front	adda tokkummaa sabaa
popular (people's) united front	adda tokkummaa uummataa
polar front	adda waaggee
war-front	adda waraanaa
molar	addaadee
Adam	Addaamoo
divide and rule	addaan qoodii biti
separable	addaan-ba'aa
divider	addaan-baasaa
to separate	addaan-baasu
separatist	addaan-baatuu
separability	addaan-bawummaa
separation	addaan-bayiinsa
to divide	addaan-qooduu
vanguard	addabu'aa
different	addadda
difference	addaddummaa
rude	addaggee
rudery	addaggooma
rudeness	addaggummaa
desertification	addalessii
particular	addayyaa
speciality	addayyummaa
explanation	addeeffama
whiteness 2) pallor	addeenya
waxing moon (opp. of dukkana) 2) moon	addeessa
one who explains	addeessaa
bleaching powder	addeessiyyee
to make white	addeessuu
topography	addolafaa
townscape	addolafaa magaalaa
mask	addoo
gas mask	addoo gaasii
bosom friend	addooyyee
1) world 2) life	addunyaa
business world	addunyaa bunaqaa
the New World	addunyaa haaraa
the world of sport	addunyaa ispoortii
the Old World	addunyaa moofaa
the Third World	addunyaa sadaffaa
universe	addunyaalee
internationalised	addunyaaleffamaa
international	addunyaalessa
to internationalise	addunyaalessuu
commercial traveller	adeemaa bunaqaa
traveller	adeemaa
journey	adeemmii
railway journey	adeemmii baaburaa
travel by air	adeemmii balali'aa
business journey	adeemmii bunaqaa
navigation	adeemmii doonii
criminal procedure law	adeemmii falamaa seer-yakkaa
civil procedure law	adeemmii falamaa seerambaa
journey on horse back	adeemmii fardaanii
duty journey	adeemmii hojii
journey by car	adeemmii konkolee
journey on foot	adeemmii miilaa
package tour	adeemmii sangantoomaa
journey	adeemsa
travel around the world	adeemsa biyyalafaa
space travel	adeemsa duwwaanaa
course of development	adeemsa misoomaa
process of a revolution	adeemsa warraaqsaa
to go	adeemuu
white	adii
pure white	adii culkii
bright white	adii qaanqee
albumen	adikillee
egg albumen	adikillee buupphaa
same as abbowaga	admiraala
narcotic	adoochaa
spinal anaesthesia	adoochaa dugdaa
narcotic	adoochituu
cause to be numb	adoochuu
numbness	adooda
spinal paralysis	adooda dugugguruu
stiff	adoodaa
paralysis	adoodummaa
to become stiff	adooduu
July	Adoolessa
senior councillors within the gadaa-system	adulaa
deputy of a national assembly	adulaa biyyaa
city councillor	adulaa diraa
apical councillor within the gadaa-system	adulaa fiixee
a senior councillor within the gadaa-system	adulaa hayyuu
town councillor	adulaa magaalaa
deputy of a regional assembly	adulaa naannoo biyyaa
politburo	adulloo
cat	adurree
mock sun	adusobee
sun	aduu
mild sun of springtime	aduu Birraa
strong	aduu saafaa
special kind of fresh grass or leaves which one spreads on the floor in a living room	afaa
mouth	afaan
mother tongue	afaan abbaa
international language	afaan addunyaalessaa
foreign language	afaan alagaa
Amharic language	afaan Amaaraa
Arabic language	afaan Arabaa
literary language	afaan barreessii
Chinese language	afaan Chaayinaa
multi-lingual	afaan danee
one's native tongue	afaan dhalootaa
spoken language	afaan dubbatamaa
dumb	afaan duudaa
Persian language	afaan Faarisaa
European language	afaan Faranjii
French language	afaan Faransaa
spy	afaan gaadduu
government security agent	afaan gaadduu mootummaa
Ge'ez language	afaan Gi'iizii
Greek language	afaan Giriikii
Hamitic language	afaan Haamii
Hamito-Semitic language	afaan Haamo-Seemii
Hausa language	afaan Hawusaa
translator	afaan hiiktuu
Hindi	afaan Hindii
business language	afaan hojii
English language	afaan Ingilizii
Spanish language	afaan Ispaanyaa
German language	afaan Jarmanii
language of chemistry	afaan kemikaa
Cushitic language	afaan Kuushii
bank	afaan lagaa
bilingual	afaan lamee
bilingualism	afaan lamummaa
official language	afaan mootummaa
regional language	afaan naannoo
technical language	afaan ogummaa
Oromo language	afaan Oromoo
standard Oromo	afaan Oromoo waaltawaa
barrel of a gun	afaan qawwee
lingua franca	afaan qunnamtii
national language	afaan sabaa
programmed language	afaan saganteessii
Semitic language	afaan Seemii
bird talk	afaan shimbirroo
Somali language	afaan Somaalee
vernacular	afaan uummataa
standard language	afaan waaltawaa
Italian language	afaan Xaaliyaanii
to pronounce	afaaneffachuu
pronunciation	afaaneffannoo
orally	afaaniin
ellipsis	afakuta
furnished	afamaa
lush grazing area	afanee
demgogue	afanfajee
demagogy	afanfajeessa
demagogic	afanfajeessaa
to confuse	afanfajeessuu
confusion	afanfajjoo
colloquial	afanfala
moustache	afarroo
fan heater	afarsiiftuu
fan	afarsituu
to fan	afarsuu
rug	afata
Persian carpet	afata Faarisaa
bedding	afatee
mattress	afattoo
airbed	afattoo afuufammee
water-bed	afattoo bishaanii
straw mattress	afattoo citaa
cotton mattress	afattoo jirbii
host	afeeraa
guest invited to a feast or party	afeeramaa
entertainer	afeerataa
invitation	afeerraa
a wedding invitation	afeerraa cidha gaayilaa
banquet	afeerraa irbaataa
reception	afeerrannoo
to invite	afeeruu
boiled	affeellii
cooker	affeeltuu
to cook	affeeluu
roofing tiles	affeerraa jaajuraa
tin roof	affeerraa qorqoorroo
bureaucratic bourgeois	afkaalaa waajjiraa
bourgeois	afkalaa
comprador bourgeois	afkalaa alattiixataa
agricultural bourgeois	afkalaa baadiyaa
national bourgeois	afkalaa sabaa
commercial bourgeois	afkalaa seedannoo
petty bourgeois	afkalaa xiqqaa
beaker	aflaaka
bill	aflaamaa
bilingual	aflamee
translator	afnaqii
crenation	afobaalaa
sea level	afogalanaa
bank of a river	afolagaa
edge	afoo
volcaninc vent	afoo burkaanaa
os cervical	afoo gadameessaa
oral literature	afoola
African oral literature	afoola Afrikaa
Oromo oral literature	afoola Oromoo
widowhood	afooloma
widow	afooloo
self-help association	afooshaa
autumn	afraasaa
confederation or league	afree
quadrant	afreeta
Africa	Afrikaa
East Africa	Afrikaa bahaa
North Africa	Afrikaa kaabaa
South Africa	Afrikaa kibbaa
West Africa	Afrikaa lixaa
Central Africa	Afrikaa waltajjii
rectangular	afrogaawaa
rectangle	afroggee
parallelogram	afroggee waltarree
African	afroo
Afro-American	Afroo Ameerikaa
Afro-Asian	Afroo Asiyaa
trilingual	afsadee
one who is 40 years old	afurtamee
to make bed	afuu
blown	afuufamaa
balloon	afuuffaa
bladder	afuuffee
urinary bladder	afuuffee ficaanii
rubber bulb	afuuffee gommaa
gall bladder	afuuffee haddhooftuu
air bladder	afuuffee qilleensaa
blowing	afuuffii
cyst	afuuffoo
liar	afuuftuu
to blow	afuufuu
spokesman	agabaasaa
control	agabxaa
flood regulation	agabxaa daaddoo
sugar-cane	agadaa
norm	aganee
to be greedy	agara'uu
data	agargoo
group data	agargoo gurmee
interpreting data	agargoo hiikuu
personal data	agargoo nammenyaa
voracious person	agarii
showcase	agarsiifata
index	agarsiiftuu
cost of living index	agarsiiftuu baasii jireenyaa
fuel gauge	agarsiiftuu boba'aa
wind gauge	agarsiiftuu bubbee
parking metre	agarsiiftuu dhaabbii
signpost	agarsiiftuu faallee
price index	agarsiiftuu gatii
farm price index	agarsiiftuu gatii hoomisha qonnaa
unemployment index	agarsiiftuu hoji-dhablummaa
production index	agarsiiftuu horataa
universal indicator	agarsiiftuu marlaalaa
scene	agarsiisa
cultural show	agarsiisa aadaa
art exhibition	agarsiisa faayataa
photo exhibition	agarsiisa fakkoo
a tourist guide	agarsiisa imaltuu
concert	agarsiisa sirbaa
mountain guide	agarsiisa tulluu
industrial exhibition	agarsiisa warshaa
city guide	agarsiisaa magaalaa
exhibitioner	agarsiisaa
showmanship	agarsiisummaa
to show	agarsiisuu
compassess	agarsootee
eyesight	agartaa
optic	agartii
ocular proof	agartii ijaa
eye	agartuu
presbyopia	agartuu dullumaa
showing	agasiifannoo
arena	aggaddoo
solitary	aggala
defecation	agiinsa
trunk	agooda
appellant	aguraa
mound	agurreen
hood	aguuggoo
subtending	aguuguu
hinge	aguura
hinge of a door	aguura balbalaa
hinge of window	aguura foddaa
bariier	aguurraa
energy barrier	aguurraa giidoo
roadblock	aguurraa karaa
barrier reef	aguurraa lagaa
embargo	aguurtoo
oil embargo	aguurtoo beensilaa
trade embargo	aguurtoo seedannoo
same as maalala	ajaa'iba
amazing	ajaa'ibsiisaa
same as yayyabboo	ajandaa
to criticise	ajifachuu
criticism	ajifannoo
critique	ajifata
critic	ajifataa
murder	ajjeechaa
murderer	ajjeeftuu
thatch	ajjeerraa
thatcher	ajjeertuu
to thatch	ajjeeruu
killer	ajjeesaa
to kill	ajjeesuu
shovel	akaafaa
shovelling	akaaffii
to shovel	akaafuu
grandpa	akaakaa
grandfather	akaakayyuu
remote ancestor	akaakilee
ancestry	akaakummaa
kind	akaakuu
blood group	akaakuu dhigaa
list of items	akaakuu meeshaa
food type	akaakuu soorataa
to parch	akaawuu
popcorn	akaayyii boqqoolloo
snack	akaayyii bunaa
parched pea	akaayyii daangulee
parched barley	akaayyii garbuu
toffee	akaayyii karameellaa
parched chick pea	akaayyii shumburaa
parched grain	akaayyii
leech	akankareessa
parasitism	akankareessummaa
parasite	akankareettii
aim	akeeka
planned output	akeeka karooraa
aim of a struggle	akeeka qabsoo
aim of a revolution	akeeka warraaqsaa
aimless	akeeka-maleessa
notice	akeekkachiisa
one who gives notice	akeekkachiisaa
to point out	akeekkachiisuu
to observe	akeekkachuu
observation	akeekkannoo
proof	akeekkoo
pointer	akeektuu
speedometer	akeektuu daddafiitii
phonetic indication	akeektuu qoonqessii
to aim	akeekuu
like	akka
according to Oromo calendar	akka laffoofsa Oromootti (a.l.O.)
according to Ethiopian calendar	akka lakkoofsa Abashaatti (a.l.A.)
according to European calendar	akka lakkoofsa Oroppaatti (a.l.Or.)
context	akka-dubbiitti
language academy	akkaadamii afaanii
science academy	akkaadamii beekumsaa
art-academy	akkaadamii faayataa
military academy	akkaadamii waraanaa
situation	akkaataa
present situatin	akkaataa ammaa
necessary condition	akkaataa barbaachisaa
transitional state	akkaataa cewumsaa
geological occurence	akkaataa cindachee
economic condition	akkaataa dinagdee
socio-economic condition	akkaataa dinagdee hawaasaa
articulation	akkaataa dubbii
market situation	akkaataa gabaa
price range	akkaataa gatii
working condition	akkaataa hojii
mode of production	akkaataa horataa
means of production	akkaataa hormaataa
means of defence	akkaataa ittisaa
living conditions	akkaataa jireenyaa
highway system	akkaataa karaa
favourable situation	akkaataa kennataa
housing situation	akkaataa manaa
environmental condition	akkaataa naannoyyaa
manner of eating	akkaataa nyaataa
weather condition	akkaataa qilleensaa
format	akkaataa qopphii
historical condition	akkaataa seenaa
political situation	akkaataa talligaa
standard condition	akkaataa waaltinaa
marriage consummation	akkaataa warroommii
linguistic feature	akkaataa xinqooqaa
serious situation	akkaataa yaachisaa
liquid state	akkaataa yaatoo
style	akkaatee
simile	akkaattii
grandmother	akkawoo
model	akkayyaa
model airplane	akkayyaa balali'aa
working model	akkayyaa hojii
model school	akkayyaa mana barumsaa
farm model	akkayyaa qotiisaa
simile	akkee
mockery	akkeessa
imitative	akkeessaa
imitator	akkeessituu
to mock	akkeessuu
spit	akkifata
pattern	akkina
regime of a river	akkina lagaa
system of equation	akkina qixxeetaa
great-grandmother	akkiyyee
accordion	akkoordiyoo
accordionsit	akkordiyoontuu
architecture	akkuja
climate	akkuleensa
highland climate	akkuleensa baddaa
mountain climate	akkuleensa gaaraa
tropical climate	akkuleensa gammoojjii
extreme climate	akkuleensa gonkee
lowland climate	akkuleensa malbee
Mediterranean climate	akkuleensa Meditiraaniyaa
insular climate	akkuleensa odoolaa
way	akkumsa
cultural factors	akkumsa aadaa
nerve system	akkumsa aarsituu
central nervous system	akkumsa aarsituu waltajjii
solar system	akkumsa biiftuu
living condition	akkumsa bultii
power factor	akkumsa humnaa
skeletal system	akkumsa kerkerree
equatorial landscape	akkumsa muldhilafaa
puncutation	akkumsa qabxii
sound system	akkumsa sagalee
limiting factor	akkumsa timjeessaa
drainage system	akkumsa yaa'illaa
asteroid	akkurjii
otter	akoftaa
acrobat	akorbaata
out	ala
vagabond	ala-bulaa
stem	alaa
beanstalk	alaa baaqilaa
stalk of maize	alaa boqqoolloo
sorghum stalk	alaa mishingaa
stem or stalk of sugar-cane	alaa shonkooraa
flag	alaabaa
national flag	alaabaa sabaa
exotic	alaadhuffee
the black	alabaa Oromoo
big	alabbicha
unrelated	alagaa
to be stranger	alagoomuu
rumination	alala
rumination	alala guura
ruminative	alala guurtuu
to ruminate	alala guuruu
satyriasis	alalee
willow tree	alaltuu
to chew	alanfachuu
chewing	alanfannoo
masticatory	alanfata
chewer	alanfataa
chewed	alanfatamaa
chewing gum	alanfattoo
whip	alangee
a whip for lashing horse	alangee fardaa
a whip make of hippopotamus' skin	alangee roobii
non-fiction	alasoosama
centrifugal	alattideemmee
kitchen	alawaadaa
gluttonous	albaadhessa
gluttony	albaadhoma
to be gluttonous	albaadhomuu
diarrhea	albaatii
bloody diarrhoea	albaatii dhigaa
sweet potato	albamee
anklet	albuu
silver anklet	albuu meetii
golden anklet	albuu sabbuu
mineral	albuuda
fossil mineral	albuuda haftoo
clay mineral	albuuda suphee
rare mineral	albuuda takkaataa
mineralisation	albuudessa
exterior	alee
exporter	alergaa
exportation	alergama
export goods	alergamaa
export	alergii
export of toxic waste	alergii baraaxii summii
to export	alerguu
murder	algalaa
vagabond	algaloo
fibre	algee
nerve fibers	algee aarsituu
enset-fibre	algee warqee
algebra	aljeebraa
linear algebra	aljeebraa sararaawaa
alkali	alkaalii
alcohol	alkoolii
pure alcohol	alkoolii culkii
beans	alkuuka
tit for tat	alla-dhufetti deebisuu
any large bird	allaattii
bird of prey	allaattii adamsaa
greater bustard	allaattii fardaa
wilderness	alloo
field work	almarfattoo
heartburn	aluulaa
father-in-law	amaaroo
mother-in-law	amaatii
opponent	amajaajjii
hostility	amajaajjummaa
pain in the neck	amajalloo
January	Amajjii
mumps	amajjuu
mongoose	amakosii
1) habit	amala
rough manners	amala arjajjaawaa
property of zero	amala duwwee
associative property	amala geeddarama hammattuu
commutative property	amala geeddarama iddoo
chemical change property	amala geeddarama kemikaalaa
chemical property	amala kemikaalaa
territorial behavior	amala lafayyaa
physical property	amala nafooyyee
distributive property	amala raabsamaa
one who has a bad character	amala-dhabeessa
one who has a good character	amala-qabeessa
weather	amaleensa
one who trusts someone	amanaa
faithful	amanamaa
trustworthiness	amanamummaa
confidence	amanannoo
to adapt	amanfachuu
to [ersuade	amansiisuu
belief	amantaa
trust	amantee
religionless	amanti-dhabeessa
weak in faith	amanti-hirdheessa
fanatism	amanti-jabeessa
fanatic person	amanti-jabeessaa
belief	amantii
world religion	amantii biyyalafaa
traditional belief	amantii duraaleyyii
popular belief	amantii uummataa
religious marriage	amantiin warroommii
secular	amantimalee
Hinduism	amantindii
religionist	amantiyyee
believers	amantoota
people of the Islamic faith	amantoota Islaamaa
people of the Christian faith	amantoota Kiristaanaa
followers of Oromo traditional religion	amantoota Oromee
1) to believe	amanuu
ring	amartii
slip ring	amartii baafataa
stone ring	amartii dhagaa
ear ring	amartii gurraa
finger ring	amartii qubaa
golden ring	amartii sabbuu
annual rings	amartii waggaa
mango	ambalafee
same as lamii	ambasaaddara
sandwich	ambatiitoo
basic	ambiiroo
mineral water	amboo
same as konkolaataa dhukkubsataa	ambulaansii
user	ambuura
library user	ambuura manbarroo
same as dubara'a	ameebaan
sperm	ameenxaa
America	Ameerikaa
Central America	Ameerikaa Jiddugalee
North America	Ameerikaa Kaabaa
South America	Ameerikaa Kibbaa
Americanised	Ameerikaaneffamaa
Americanisation	Ameerikaanessii
to Americanise	Ameerikaanessuu
American	Ameerikaanii
Americanism	Ameerikaanummaa
actual	amjiraa
father	ammachiifataa
the ritual naming of a child by the qaalluu	ammachiisaa
to embrace	ammachuu
order	ammartii
again	ammas
to reorganise	ammas-gurmeessuu
reprint	ammas-maxxanfamaa
to reprint	ammas-maxxansuu
baptist	ammataa
modern	ammayyaa
postmodern	ammayyaa booda
modernity	ammayyeeffama
modernisation	ammayyeessa
moderniser	ammayyeessaa
to modernise	ammayyeessuu
fashion	ammayyoo
modernism	ammayyummaa
mode	ammee
rhizome	ammichoo
the present	ammii
nursing of small baby	amnuu
salt bar	amoolee
rock salt	amoolee kattaa
to yawn	amuummachuu
yawn	amuummii
pineapple	anaanaas
fringe	andaara
lateral edge	andaara cinoo
soap	andarqii
shaving soap	andarqii areedaa
soap	andarqii dhagnaa
face powder	andarqii fuulaa
soap for hand washing	andarqii harkaa
washing powder	andarqii uffataa
perfumed soap	andarqii urgaawaa
toothpaste	andilkaa
soap-nut	andoodee
first born	angafa
main objective	angafa akeekaa
major subject	angafa barumsaa
headquarters	angafa bokonaa
central station	angafa buufataa
main enemy	angafa diinaa
main economy	angafa dinagdee
main economic activity	angafa dinagdee hojii
main task	angafa dirqamaa
main point	angafa dubbii
chieftain	angafa gosaa
vena cava	angafa hidda dhiigaa
main agricultural production	angafa horata qonnaa
main production	angafa horataa
main road	angafa karaa
general assembly	angafa koraa
main river	angafa lagaa
principal town or city	angafa magaalaa
archangel	angafa maleekotaa
main sea port	angafa malkee
central library	angafa manbarroo
police headquarters	angafa mantorobbee
major cash-crop	angafa midhaan gabaa
major crop	angafa midhaanii
principal person	angafa namaa
staple food	angafa nyaataa
headlines	angafa oduu
main service	angafa tajaajilaa
head office	angafa waajjiraa
leading idea	angafa yaadaa
original	angafoo
seniority	angafummaa
article	anguu
possible	anjaawaa
possibility	anjaawummaa
to be possible	anjaawuu
proper	anjii
force	anniisaa
external force	anniisaa aloo
restoring force	anniisaa deebisaa
compressive force	anniisaa gadqabiinsaa
internal force	anniisaa keessoo
magnetic force	anniisaa maagineetaa
unbalanced force	anniisaa walin-qixxaannee
balanced force	anniisaa walqixxaataa
central forces	anniisaa waltajjii
baby's food	anqarsa
bed-sheet	anssolaa
same as sanfila	anteenaa
selfish	anumee
selfishness	anummaa
sarcasm	anyarsee
apartheid	appartaayida
addictive	araachisaa
need for smoking	araada
resting place for cattle after they dirnk hora	araadaa
to crave for things such as coffee and tobacco	araaduu
conciliation	araara
